company;product;typename;inches;screenresolution;cpu_company;cpu_type;cpu_frequency_ghz;ram_gb;memory;gpu_company;gpu_type;opsys;weight_kg;price_euro
Asus;X555BP-XX180T (A9-9420/4GB/1TB/Radeon;Notebook;156;1366x768;AMD;A9-Series 9420;30;40;1TB HDD;AMD;Radeon R5 M420;Windows 10;203;4030
Acer;Aspire A517-51G;Notebook;173;IPS Panel Full HD 1920x1080;Intel;Core i5 8250U;16;40;256GB SSD;Nvidia;GeForce MX150;Windows 10;30;8050
Dell;Inspiron 3576;Notebook;156;Full HD 1920x1080;Intel;Core i5 8250U;16;80;256GB SSD;AMD;Radeon 520;Windows 10;213;7280
Lenovo;Legion Y520-15IKBN;Gaming;156;IPS Panel Full HD 1920x1080;Intel;Core i7 7700HQ;28;160;256GB SSD;Nvidia;GeForce GTX 1050 Ti;Windows 10;25;10790
Acer;Aspire A315-31;Notebook;156;1366x768;Intel;Celeron Dual Core N3350;11;40;1TB HDD;Intel;HD Graphics 500;Windows 10;21;3480
MSI;GE63VR 7RE;Gaming;156;IPS Panel Full HD 1920x1080;Intel;Core i7 7700HQ;28;160;256GB SSD +  1TB HDD;Nvidia;GeForce GTX 1060;Windows 10;24;17990
Acer;Aspire 3;Notebook;156;1366x768;Intel;Pentium Quad Core N4200;11;40;1TB HDD;Intel;HD Graphics 505;Windows 10;21;36351
Dell;Inspiron 5577;Gaming;156;Full HD 1920x1080;Intel;Core i7 7700HQ;28;80;128GB SSD +  1TB HDD;Nvidia;GeForce GTX 1050;Windows 10;256;106049
Acer;Aspire A517-51G;Notebook;173;IPS Panel Full HD 1920x1080;Intel;Core i5 8250U;16;80;256GB SSD;Nvidia;GeForce MX150;Windows 10;30;8540
HP;ProBook 430;Notebook;133;IPS Panel Full HD 1920x1080;Intel;Core i5 8250U;16;40;500GB HDD;Intel;UHD Graphics 620;Windows 10;149;7540
Huawei;MateBook X;Ultrabook;130;IPS Panel Full HD 2160x1440;Intel;Core i5 7200U;25;80;256GB SSD;Intel;HD Graphics 620;Windows 10;105;13490
HP;17-bs001nv (i5-7200U/6GB/2TB/Radeon;Notebook;173;IPS Panel Full HD 1920x1080;Intel;Core i5 7200U;25;60;2TB HDD;AMD;Radeon 520;Windows 10;271;6990
Lenovo;IdeaPad 320-15AST;Notebook;156;1366x768;AMD;A6-Series 9220;29;40;500GB HDD;AMD;Radeon R4 Graphics;No OS;22;3090
Toshiba;Satellite Pro;Notebook;156;1366x768;Intel;Core i3 7100U;24;40;500GB HDD;Intel;HD Graphics 620;Windows 10;20;4,89E+16
HP;ProBook 470;Notebook;173;Full HD 1920x1080;Intel;Core i5 8250U;16;80;256GB SSD;Nvidia;GeForce 930MX;Windows 10;25;9230
Dell;Inspiron 3567;Notebook;156;1366x768;Intel;Core i3 7100U;24;80;1TB HDD;Intel;HD Graphics 620;Windows 10;23;4590
Acer;Aspire A315-51;Notebook;156;1366x768;Intel;Core i3 6006U;20;40;128GB SSD;Intel;HD Graphics 520;Windows 10;21;4490
MSI;GT80S 6QF-074US;Gaming;184;Full HD 1920x1080;Intel;Core i7 6920HQ;29;320;512GB SSD +  1TB HDD;Nvidia;GTX 980 SLI;Windows 10;44;27990
Lenovo;V310-15IKB (i5-7200U/8GB/1TB;Notebook;156;Full HD 1920x1080;Intel;Core i5 7200U;25;80;128GB SSD +  1TB HDD;AMD;R17M-M1-70;Windows 10;19;8130
HP;Spectre x360;2 in 1 Convertible;133;IPS Panel 4K Ultra HD / Touchscreen 3840x2160;Intel;Core i5 8250U;16;80;256GB SSD;Intel;UHD Graphics 620;Windows 10;129;14990
Dell;Inspiron 5570;Notebook;156;Full HD 1920x1080;Intel;Core i7 8550U;18;160;256GB SSD +  2TB HDD;AMD;Radeon 530;Linux;202;10490
Dell;XPS 13;Ultrabook;133;Full HD 1920x1080;Intel;Core i5 8250U;16;80;256GB SSD;Intel;UHD Graphics 620;Windows 10;123;13990
Lenovo;Yoga 920-13IKB;2 in 1 Convertible;139;IPS Panel 4K Ultra HD / Touchscreen 3840x2160;Intel;Core i7 8550U;18;160;512GB SSD;Intel;UHD Graphics 620;Windows 10;14;18490
Toshiba;Satellite Pro;Notebook;156;1366x768;Intel;Core i5 7200U;25;80;128GB SSD;Intel;HD Graphics 620;Windows 10;20;7930
Xiaomi;Mi Notebook;Notebook;156;IPS Panel Full HD 1920x1080;Intel;Core i5 8250U;16;80;256GB SSD;Nvidia;GeForce MX150;No OS;195;11990
Dell;Inspiron 7773;Notebook;173;Full HD / Touchscreen 1920x1080;Intel;Core i7 8550U;18;160;512GB SSD;Nvidia;GeForce 150MX;Windows 10;277;15490
Dell;XPS 15;Notebook;156;4K Ultra HD / Touchscreen 3840x2160;Intel;Core i7 7700HQ;28;160;512GB SSD;Nvidia;GeForce GTX 1050;Windows 10;206;23970
Lenovo;Legion Y520-15IKBN;Gaming;156;IPS Panel Full HD 1920x1080;Intel;Core i5 7300HQ;25;80;256GB SSD;Nvidia;GeForce GTX 1050;No OS;24;7790
Acer;Swift 7;Ultrabook;133;IPS Panel Full HD 1920x1080;Intel;Core i5 7Y54;12;80;256GB SSD;Intel;HD Graphics 615;Windows 10;112;9890
Dell;Inspiron 5770;Notebook;173;Full HD 1920x1080;Intel;Core i7 8550U;18;80;128GB SSD +  1TB HDD;AMD;Radeon 530;Windows 10;28;10850
Lenovo;Thinkpad Yoga;2 in 1 Convertible;140;Touchscreen 2560x1440;Intel;Core i7 7500U;27;160;1TB SSD;Intel;HD Graphics 620;Windows 10;142;28240
Vero;K147 (N3350/4GB/32GB/FHD/W10);Notebook;140;IPS Panel Full HD 1920x1080;Intel;Celeron Dual Core N3350;11;40;32GB Flash Storage;Intel;HD Graphics 500;Windows 10;13;2600
Xiaomi;Mi Notebook;Ultrabook;133;IPS Panel Full HD 1920x1080;Intel;Core i5 7200U;25;80;256GB SSD;Nvidia;GeForce MX150;No OS;13;9999
Lenovo;IdeaPad 320-17IKBR;Notebook;173;1600x900;Intel;Core i5 8250U;16;80;256GB SSD;Nvidia;GeForce MX150;No OS;28;6980
Dell;Inspiron 5379;2 in 1 Convertible;133;IPS Panel Full HD / Touchscreen 1920x1080;Intel;Core i7 8550U;18;80;1TB HDD;Intel;UHD Graphics 620;Windows 10;162;8390
HP;ProBook 470;Notebook;173;IPS Panel Full HD 1920x1080;Intel;Core i5 8250U;16;80;1TB HDD;Nvidia;GeForce 930MX;Windows 10;25;9140
Razer;Blade Pro;Gaming;173;4K Ultra HD / Touchscreen 3840x2160;Intel;Core i7 7820HK;29;320;1TB SSD;Nvidia;GeForce GTX 1080;Windows 10;349;60990
HP;ProBook 430;Notebook;133;Full HD 1920x1080;Intel;Core i5 8250U;16;80;512GB SSD;Intel;UHD Graphics 620;Windows 10;149;9590
HP;Omen 17-W295;Gaming;173;IPS Panel Full HD 1920x1080;Intel;Core i7 7700HQ;28;160;256GB SSD +  1TB HDD;Nvidia;GeForce GTX 1050;Windows 10;335;13790
HP;Probook 470;Notebook;173;Full HD 1920x1080;Intel;Core i7 8550U;18;80;256GB SSD;Nvidia;GeForce 930MX;Windows 10;25;10450
Dell;Inspiron 7577;Gaming;156;IPS Panel 4K Ultra HD 3840x2160;Intel;Core i7 7700HQ;28;160;512GB SSD +  1TB HDD;Nvidia;GeForce GTX 1060;Windows 10;265;18450
Lenovo;V110-15ISK (i5-6200U/4GB/128GB/W10);Notebook;156;1366x768;Intel;Core i5 6200U;23;40;128GB SSD;Intel;HD Graphics 520;Windows 10;21;4930
Acer;Aspire E5-576G;Notebook;156;Full HD 1920x1080;Intel;Core i7 7500U;27;80;1TB HDD;Nvidia;GeForce 940MX;Windows 10;223;7420
Lenovo;Legion Y720-15IKB;Gaming;156;IPS Panel Full HD 1920x1080;Intel;Core i7 7700HQ;28;160;512GB SSD +  1TB HDD;Nvidia;GeForce GTX 1060;Windows 10;32;17490
Dell;Precision 7520;Workstation;156;4K Ultra HD 3840x2160;Intel;Xeon E3-1505M V6;30;160;256GB SSD +  1TB HDD;Nvidia;Quadro M1200;Windows 10;28;30550
Lenovo;Legion Y520-15IKBN;Gaming;156;Full HD 1920x1080;Intel;Core i7 7700HQ;28;160;512GB SSD;Nvidia;GeForce GTX 1060;No OS;24;13980
Dell;Inspiron 3567;Notebook;156;Touchscreen 1366x768;Intel;Core i3 7100U;24;60;1TB HDD;Intel;HD Graphics 620;Windows 10;23;4390
Dell;XPS 13;Ultrabook;133;IPS Panel 4K Ultra HD / Touchscreen 3840x2160;Intel;Core i7 8550U;18;80;256GB SSD;Intel;UHD Graphics 620;Windows 10;121;19490
Dell;XPS 13;Ultrabook;133;Full HD 1920x1080;Intel;Core i7 8550U;18;80;256GB SSD;Intel;UHD Graphics 620;Windows 10;1,2E+16;14490
Lenovo;IdeaPad 320-15IKBN;Notebook;156;1366x768;Intel;Core i5 7200U;25;80;256GB SSD;Intel;HD Graphics 620;Windows 10;22;5970
Acer;Aspire 7;Notebook;156;Full HD 1920x1080;Intel;Core i7 7700HQ;28;80;1TB HDD;Nvidia;GeForce GTX 1050;Linux;24;7790
Asus;ROG GL703VD-GC028T;Gaming;173;Full HD 1920x1080;Intel;Core i7 7700HQ;28;160;256GB SSD +  1TB HDD;Nvidia;GeForce GTX 1050;Windows 10;29;14070
HP;15-bs018nq (i3-6006U/4GB/500GB/FHD/No;Notebook;156;Full HD 1920x1080;Intel;Core i3 6006U;20;40;500GB HDD;Intel;HD Graphics 520;No OS;21;3490
Lenovo;IdeaPad 320-15IKBN;Notebook;156;Full HD 1920x1080;Intel;Core i5 7200U;25;80;256GB SSD;Intel;HD Graphics 620;No OS;22;5490
Huawei;MateBook X;Ultrabook;130;IPS Panel Full HD 2160x1440;Intel;Core i7 7500U;27;80;512GB SSD;Intel;HD Graphics 620;Windows 10;105;14990
Dell;Inspiron 5370;Ultrabook;133;IPS Panel Full HD 1920x1080;Intel;Core i7 8550U;18;80;256GB SSD;AMD;Radeon 530;Windows 10;14;93188
Lenovo;IdeaPad 320-17IKB;Notebook;173;1600x900;Intel;Core i5 7200U;25;80;1TB HDD;Nvidia;GeForce GTX 940MX;No OS;28;5890
HP;Probook 440;Notebook;140;Full HD 1920x1080;Intel;Core i7 8550U;18;80;256GB SSD;Nvidia;GeForce 930MX;Windows 10;163;10310
Dell;Latitude 5490;Ultrabook;140;Full HD 1920x1080;Intel;Core i5 8250U;16;80;256GB SSD;Intel;UHD Graphics 620;Windows 10;16;11490
Dell;Inspiron 5379;2 in 1 Convertible;133;Full HD / Touchscreen 1920x1080;Intel;Core i7 8550U;18;160;512GB SSD;Intel;UHD Graphics 620;Windows 10;162;12790
Dell;Inspiron 3576;Notebook;156;Full HD 1920x1080;Intel;Core i5 8250U;16;80;256GB SSD;AMD;Radeon 520;Linux;22;67735
Lenovo;Yoga 520-14IKB;2 in 1 Convertible;140;IPS Panel Full HD 1920x1080;Intel;Core i5 8250U;16;80;256GB SSD;Intel;UHD Graphics 620;Windows 10;174;8990
Toshiba;Portege Z30-C-16L;Ultrabook;133;Full HD 1920x1080;Intel;Core i7 6500U;25;80;256GB SSD;Intel;HD Graphics 520;Windows 10;1,2E+16;13630
HP;ProBook 450;Notebook;156;Full HD 1920x1080;Intel;Core i5 8250U;16;80;1TB HDD;Intel;UHD Graphics 620;Windows 10;21;7940
Dell;Alienware 17;Gaming;173;IPS Panel Full HD 1920x1080;Intel;Core i7 7700HQ;28;160;256GB SSD +  1TB HDD;Nvidia;GeForce GTX 1060;Windows 10;442;245634
Acer;Aspire E5-576G;Notebook;156;Full HD 1920x1080;Intel;Core i7 7500U;27;80;256GB SSD;Nvidia;GeForce 940MX;Windows 10;22;8320
Dell;Inspiron 5567;Notebook;156;Full HD / Touchscreen 1920x1080;Intel;Core i7 7500U;27;160;1TB HDD;AMD;Radeon R7 M445;Windows 10;23;85901
Asus;Vivobook X541UV-DM1217T;Notebook;156;Full HD 1920x1080;Intel;Core i5 7200U;25;80;256GB SSD;Nvidia;GeForce 920MX;Windows 10;20;7690
Asus;K756UX-T4340T (i5-7200U/8GB/500GB;Notebook;173;Full HD 1920x1080;Intel;Core i5 7200U;25;80;256GB SSD +  500GB HDD;Nvidia;GeForce GTX 950M;Windows 10;269;8910
HP;ZBook 15u;Notebook;156;Full HD 1920x1080;Intel;Core i7 7500U;27;80;1TB HDD;AMD;FirePro W4190M;Windows 10;19;12690
Asus;Pro P2540UA-XO0198T;Notebook;156;1366x768;Intel;Core i3 7100U;24;40;1TB HDD;Intel;HD Graphics 620;Windows 10;237;39899
HP;15-rb013nv (E2-9000e/4GB/500GB/W10);Notebook;156;1366x768;AMD;E-Series 9000e;15;40;500GB HDD;AMD;Radeon R2;Windows 10;21;3300
Lenovo;Legion Y720-15IKB;Gaming;156;IPS Panel Full HD 1920x1080;Intel;Core i7 7700HQ;28;160;256GB SSD +  1TB HDD;Nvidia;GeForce GTX 1060;Windows 10;32;14990
Dell;Vostro 5468;Notebook;140;Full HD 1920x1080;Intel;Core i5 7200U;25;80;256GB SSD;Intel;HD Graphics 620;Windows 10;16;8590
Acer;Aspire R7;2 in 1 Convertible;133;IPS Panel Full HD / Touchscreen 1920x1080;Intel;Core i5 6200U;23;80;256GB SSD;Intel;HD Graphics 520;Windows 10;16;6890
Dell;Inspiron 5567;Notebook;156;Full HD 1920x1080;Intel;Core i7 7500U;27;160;256GB SSD;AMD;Radeon R7 M445;Linux;236;8990
Acer;Aspire A315-51;Notebook;156;1366x768;Intel;Core i3 6006U;20;40;1TB HDD;Intel;HD Graphics 520;Linux;21;3900
Asus;X555QG-DM242T (A10-9620P/4GB/1TB;Notebook;156;Full HD 1920x1080;AMD;A10-Series A10-9620P;25;40;128GB SSD +  1TB HDD;AMD;Radeon R5 M430;Windows 10;22;5750
Asus;ROG G703VI-E5062T;Gaming;173;Full HD 1920x1080;Intel;Core i7 7820HK;29;320;512GB SSD +  1TB HDD;Nvidia;GeForce GTX 1080;Windows 10;47;38900
Acer;Nitro AN515-51;Gaming;156;IPS Panel Full HD 1920x1080;Intel;Core i5 7300HQ;25;80;256GB SSD;Nvidia;GeForce GTX 1050;Windows 10;25;8460
Lenovo;IdeaPad 320-15ISK;Notebook;156;1366x768;Intel;Core i3 6006U;20;80;128GB SSD;Intel;HD Graphics 520;Windows 10;22;5890
Asus;VivoBook Pro;Notebook;173;Full HD 1920x1080;Intel;Core i7 8550U;18;80;128GB SSD +  1TB HDD;Nvidia;GeForce 150MX;Windows 10;21;11450
Asus;F756UX-T4201D (i7-7500U/8GB/128GB;Notebook;173;Full HD 1920x1080;Intel;Core i7 7500U;27;80;128GB SSD +  1TB HDD;Nvidia;GeForce GTX 950M;No OS;269;8890
Dell;Inspiron 5577;Gaming;156;Full HD 1920x1080;Intel;Core i5 7300HQ;25;80;256GB SSD;Nvidia;GeForce GTX 1050;Windows 10;256;8790
Lenovo;Yoga 910-13IKB;2 in 1 Convertible;139;IPS Panel Full HD / Touchscreen 1920x1080;Intel;Core i7 7500U;27;80;256GB SSD;Intel;HD Graphics 620;Windows 10;138;10790
Dell;Inspiron 5570;Notebook;156;Full HD 1920x1080;Intel;Core i7 8550U;18;80;128GB SSD +  2TB HDD;AMD;Radeon 530;Windows 10;22;9850
HP;15-bs015dx (i5-7200U/8GB/1TB/W10);Notebook;156;Full HD 1920x1080;Intel;Core i5 7200U;25;80;1TB HDD;Intel;HD Graphics 620;Windows 10;204;5590
Asus;Rog G701VIK-BA060T;Gaming;173;Full HD 1920x1080;Intel;Core i7 7820HK;29;160;256GB SSD;Nvidia;GeForce GTX 1080;Windows 10;36;29990
HP;ProBook 430;Notebook;133;IPS Panel Full HD 1920x1080;Intel;Core i5 8250U;16;40;500GB HDD;Intel;UHD Graphics 620;Windows 10;149;6750
Apple;MacBook Pro;Ultrabook;133;IPS Panel Retina Display 2560x1600;Intel;Core i5;31;80;512GB SSD;Intel;Iris Plus Graphics 650;macOS;137;20400
Dell;Inspiron 5579;2 in 1 Convertible;156;IPS Panel Full HD / Touchscreen 1920x1080;Intel;Core i7 8550U;18;80;1TB HDD;Intel;UHD Graphics 620;Windows 10;208;8190
Asus;ROG G752VSK-GC493T;Gaming;173;Full HD 1920x1080;Intel;Core i7 7700HQ;28;160;256GB SSD +  1TB HDD;Nvidia;GeForce GTX 980M;Windows 10;43;17990
Asus;X505BP-BR019T (A9-9420/4GB/1TB/Radeon;Notebook;156;1366x768;AMD;A9-Series 9420;30;40;1TB HDD;AMD;Radeon R5 M420;Windows 10;168;4690
Lenovo;Yoga 920-13IKB;2 in 1 Convertible;139;IPS Panel Full HD / Touchscreen 1920x1080;Intel;Core i7 8550U;18;80;512GB SSD;Intel;UHD Graphics 620;Windows 10;137;18490
Acer;Aspire 5;Notebook;173;IPS Panel Full HD 1920x1080;Intel;Core i3 7130U;27;40;256GB SSD;Nvidia;GeForce MX130;Windows 10;30;7020
Dell;Vostro 5370;Ultrabook;133;Full HD 1920x1080;Intel;Core i5 8250U;16;80;256GB SSD;Intel;UHD Graphics 620;Windows 10;141;9490
HP;15-BW094nd (A6-9220/8GB/128GB/W10);Notebook;156;1366x768;AMD;A6-Series A6-9220;25;80;128GB SSD;AMD;Radeon R4 Graphics;Windows 10;191;113602
HP;Envy 17-U275cl;Notebook;173;IPS Panel Full HD 1920x1080;Intel;Core i7 8550U;18;160;1TB HDD;Nvidia;GeForce MX150;Windows 10;29;10590
MSI;GT73EVR 7RE;Gaming;173;Full HD 1920x1080;Intel;Core i7 7700HQ;28;160;512GB SSD +  1TB HDD;Nvidia;GeForce GTX 1070;Windows 10;414;24990
Lenovo;Yoga 720-15IKB;2 in 1 Convertible;156;IPS Panel Full HD / Touchscreen 1920x1080;Intel;Core i7 7700HQ;28;80;512GB SSD;Nvidia;GeForce GTX 1050M;Windows 10;20;16990
Dell;Inspiron 5770;Notebook;173;Full HD 1920x1080;Intel;Core i7 8550U;18;80;128GB SSD +  1TB HDD;AMD;Radeon 530;Windows 10;28;11420
Lenovo;IdeaPad 320-15ISK;Notebook;156;Full HD 1920x1080;Intel;Core i3 6006U;20;40;256GB SSD;Intel;HD Graphics 520;No OS;22;4440
HP;ProBook 450;Notebook;156;IPS Panel Full HD 1920x1080;Intel;Core i5 8250U;16;40;500GB HDD;Intel;HD Graphics 620;Windows 10;21;7220
Dell;Vostro 3568;Notebook;156;Full HD 1920x1080;Intel;Core i5 7200U;25;40;1TB HDD;Intel;HD Graphics 620;Windows 10;218;6570
Dell;Inspiron 3567;Notebook;156;Full HD 1920x1080;Intel;Core i5 7200U;25;80;1TB HDD;AMD;Radeon R5 M430;Windows 10;224;5650
Dell;Inspiron 5579;2 in 1 Convertible;156;Full HD / Touchscreen 1920x1080;Intel;Core i5 8250U;16;80;256GB SSD;Intel;UHD Graphics 620;Windows 10;267;7990
Asus;ZenBook Flip;2 in 1 Convertible;133;Full HD / Touchscreen 1920x1080;Intel;Core i7 8550U;18;80;512GB SSD +  512GB SSD;Intel;UHD Graphics 620;Windows 10;11;14990
Lenovo;IdeaPad 320-15IKBN;Notebook;156;Full HD 1920x1080;Intel;Core i5 7200U;25;40;1TB HDD;Intel;HD Graphics 620;No OS;22;4670
HP;Probook 470;Notebook;173;Full HD 1920x1080;Intel;Core i7 8550U;18;80;1TB HDD;Nvidia;GeForce 930MX;Windows 10;25;10180
Dell;V330-15IKB (i7-8550U/8GB/256GB/FHD/W10);Notebook;156;Full HD 1920x1080;Intel;Core i7 8550U;18;80;256GB SSD;Intel;UHD Graphics 620;Windows 10;205;8800
Apple;MacBook Pro;Ultrabook;133;IPS Panel Retina Display 2560x1600;Intel;Core i5;29;80;512GB SSD;Intel;Iris Graphics 550;macOS;137;19589
Asus;Rog Strix;Gaming;173;Full HD 1920x1080;AMD;Ryzen 1700;30;160;256GB SSD +  1TB HDD;AMD;Radeon RX 580;Windows 10;32;15490
Dell;Inspiron 3576;Notebook;156;Full HD 1920x1080;Intel;Core i7 8550U;18;80;256GB SSD;AMD;Radeon 520;Linux;214;73507
Lenovo;ThinkPad X1;2 in 1 Convertible;140;Touchscreen 2560x1440;Intel;Core i7 6600U;26;160;512GB SSD;Intel;HD Graphics 520;Windows 10;136;24990
Toshiba;Satellite Pro;Notebook;156;1366x768;Intel;Core i7 6500U;25;80;500GB HDD;Nvidia;GeForce 930M;Windows 10;22;8120
Dell;Inspiron 5567;Notebook;156;1366x768;Intel;Core i7 7500U;27;120;1TB HDD;Intel;HD Graphics 620;Windows 10;23;71307
Dell;Inspiron 5770;Notebook;173;Full HD 1920x1080;Intel;Core i7 8550U;18;80;128GB SSD +  1TB HDD;AMD;Radeon 530;Linux;28;10990
Acer;Aspire A515-51G;Notebook;156;IPS Panel Full HD 1920x1080;Intel;Core i7 8550U;18;80;1TB HDD;Nvidia;GeForce MX130;Windows 10;22;7450
Lenovo;IdeaPad 320-17ISK;Notebook;173;1600x900;Intel;Core i3 6006U;20;40;1TB HDD;Intel;HD Graphics 520;Windows 10;28;4,89E+16
Lenovo;IdeaPad 320-17IKBR;Notebook;173;Full HD 1920x1080;Intel;Core i7 8550U;18;80;2TB HDD;Nvidia;GeForce MX150;No OS;28;8490
Lenovo;IdeaPad 320-17IKB;Notebook;173;1600x900;Intel;Core i7 7500U;27;60;128GB SSD +  1TB HDD;Nvidia;GeForce 940MX;Windows 10;28;8590
Dell;Inspiron 3567;Notebook;156;Full HD 1920x1080;Intel;Core i3 6006U;20;40;1TB HDD;AMD;Radeon R5 M430;Linux;225;4280
Lenovo;Legion Y520-15IKBN;Gaming;156;IPS Panel Full HD 1920x1080;Intel;Core i5 7300HQ;25;80;256GB SSD;Nvidia;GeForce GTX 1050;Windows 10;25;8290
Lenovo;Ideapad 320-15IKBN;Notebook;156;Full HD 1920x1080;Intel;Core i5 7200U;25;60;256GB SSD;Intel;HD Graphics 620;Windows 10;22;5790
Acer;Aspire A517-51G;Notebook;156;IPS Panel Full HD 1920x1080;Intel;Core i7 8550U;18;80;256GB SSD;Nvidia;GeForce MX150;Windows 10;30;9510
Acer;SP315-51 (i7-7500U/12GB/1TB/FHD/W10);Notebook;156;IPS Panel Full HD / Touchscreen 1920x1080;Intel;Core i7 7500U;27;120;1TB HDD;Intel;HD Graphics 620;Windows 10;215;6590
Lenovo;Thinkpad T570;Notebook;156;IPS Panel Full HD 1920x1080;Intel;Core i7 7500U;27;80;256GB SSD;Intel;HD Graphics 630;Windows 10;195;10970
Asus;VivoBook S15;Ultrabook;156;Full HD 1920x1080;Intel;Core i5 7200U;25;80;256GB SSD;Nvidia;GeForce 940MX;Windows 10;17;9770
Lenovo;Legion Y520-15IKBN;Gaming;156;IPS Panel Full HD 1920x1080;Intel;Core i7 7700HQ;28;160;256GB SSD +  1TB HDD;Nvidia;GeForce GTX 1050 Ti;Windows 10;25;11790
Lenovo;IdeaPad 320-15IKB;Notebook;156;Full HD 1920x1080;Intel;Core i7 7500U;27;80;1TB HDD;Nvidia;GeForce 940MX;No OS;22;65901
Acer;Chromebook C910-C2ST;Notebook;156;1366x768;Intel;Celeron Dual Core 3205U;15;20;16GB SSD;Intel;HD Graphics;Chrome OS;219;1990
Asus;FX753VD-GC071T (i7-7700HQ/8GB/1TB/GeForce;Gaming;173;Full HD 1920x1080;Intel;Core i7 7700HQ;28;80;1TB HDD;Nvidia;GeForce GTX 1050;Windows 10;30;11870
HP;17-BS037cl (i3-6006U/8GB/1TB/W10);Notebook;173;1600x900;Intel;Core i3 6006U;20;80;1TB HDD;Intel;HD Graphics 520;Windows 10;254;4,89E+16
Dell;XPS 15;Notebook;156;Full HD 1920x1080;Intel;Core i7 7700HQ;28;80;256GB SSD;Nvidia;GeForce GTX 1050;Windows 10;20;18290
Lenovo;V330-15IKB (i5-8250U/8GB/256GB/FHD/W10);Notebook;156;Full HD 1920x1080;Intel;Core i5 8250U;16;80;256GB SSD;Intel;UHD Graphics 620;Windows 10;205;7390
Lenovo;Legion Y720-15IKB;Gaming;156;IPS Panel Full HD 1920x1080;Intel;Core i7 7700HQ;28;80;1TB HDD;Nvidia;GeForce GTX 1060;Windows 10;32;12990
Acer;Aspire A715-71G;Notebook;156;Full HD 1920x1080;Intel;Core i7 7700HQ;28;80;256GB SSD;Nvidia;GeForce GTX 1050 Ti;Linux;25;9790
Dell;Precision 7720;Workstation;173;Full HD 1920x1080;Intel;Core i7 7820HQ;29;160;256GB SSD;Nvidia;Quadro M1200;Windows 10;342;288486
Lenovo;IdeaPad 310-15ABR;Notebook;156;Full HD 1920x1080;AMD;A10-Series 9600P;24;60;1TB HDD;AMD;Radeon R5 430;Windows 10;24;4,99E+16
Asus;ZenBook UX530UQ-PRO;Ultrabook;156;Full HD 1920x1080;Intel;Core i7 7500U;27;160;512GB SSD;Nvidia;GeForce 940MX;Windows 10;163;14680
Asus;VivoBook S14;Notebook;140;1366x768;Intel;Core i3 7100U;24;40;128GB SSD;Intel;HD Graphics 620;Windows 10;13;5090
Asus;Rog GL702VS-GC095T;Gaming;173;Full HD 1920x1080;Intel;Core i7 7700HQ;28;160;256GB SSD +  1TB HDD;Nvidia;GeForce GTX 1070;Windows 10;29;21220
Lenovo;IdeaPad 320-17IKB;Notebook;173;1600x900;Intel;Core i5 7200U;25;60;1TB HDD;Nvidia;GeForce GTX 940M;Windows 10;28;6490
Lenovo;IdeaPad 320-15IKBN;Notebook;156;1366x768;Intel;Core i5 7200U;25;80;2TB HDD;Nvidia;GeForce 940MX;No OS;22;5490
Asus;GL553VE-FY082T (i7-7700HQ/8GB/1TB;Gaming;156;Full HD 1920x1080;Intel;Core i7 7700HQ;28;80;128GB SSD +  1TB HDD;Nvidia;GeForce GTX 1050 Ti;Windows 10;25;12650
Lenovo;IdeaPad 320-15IAP;Notebook;156;1366x768;Intel;Pentium Quad Core N4200;11;40;1TB HDD;Intel;HD Graphics 505;No OS;22;35999
HP;EliteBook x360;2 in 1 Convertible;133;Full HD / Touchscreen 1920x1080;Intel;Core i7 7600U;28;160;256GB SSD;Intel;HD Graphics 620;Windows 10;128;19750
Toshiba;Satellite Pro;Notebook;156;IPS Panel Full HD 1920x1080;Intel;Core i7 6500U;25;80;256GB SSD;Nvidia;GeForce 930M;Windows 10;22;10430
Lenovo;IdeaPad 320-15IKB;Notebook;156;Full HD 1920x1080;Intel;Core i5 7200U;25;80;128GB SSD +  1TB HDD;Nvidia;GeForce 940MX;Windows 10;23;8190
HP;250 G6;Notebook;156;Full HD 1920x1080;Intel;Core i3 6006U;20;40;1TB HDD;Intel;HD Graphics 520;Windows 10;186;4690
Lenovo;IdeaPad 720S-13IKB;Notebook;133;IPS Panel Full HD 1920x1080;Intel;Core i5 7200U;25;80;256GB SSD;Intel;HD Graphics 620;Windows 10;11;9990
Dell;XPS 13;Ultrabook;133;IPS Panel 4K Ultra HD / Touchscreen 3840x2160;Intel;Core i7 8550U;18;160;1TB SSD;Intel;UHD Graphics 620;Windows 10;121;24990
MSI;GE63VR 7RF;Gaming;156;IPS Panel Full HD 1920x1080;Intel;Core i7 7700HQ;28;160;256GB SSD +  1TB HDD;Nvidia;GeForce GTX 1070;Windows 10;28;20990
Acer;ES1-523-84K7 (A8-7410/8GB/256GB/FHD/W10);Notebook;156;Full HD 1920x1080;AMD;A8-Series 7410;22;80;256GB SSD;AMD;Radeon R5;Windows 10;223;4690
Asus;VivoBook Flip;2 in 1 Convertible;116;Touchscreen 1366x768;Intel;Celeron Dual Core N3350;11;20;32GB Flash Storage;Intel;HD Graphics 500;Windows 10;11;2750
Dell;Inspiron 5570;Notebook;156;Full HD 1920x1080;Intel;Core i5 8250U;16;80;128GB SSD +  1TB HDD;AMD;Radeon 530;Windows 10;233;8440
